owner,repo,authorCount,cached
airbnb,javascript,482,false
airbnb,javascript,482,false
CyC2018,CS-Notes,185,false
CyC2018,CS-Notes,185,false
iluwatar,java-design-patterns,189,false
iluwatar,java-design-patterns,189,false
trekhleb,javascript-algorithms,88,false
trekhleb,javascript-algorithms,88,false
elastic,elasticsearch,1573,false
elastic,elasticsearch,1573,false
ReactiveX,RxJava,343,false
ReactiveX,RxJava,343,false
spring-projects,spring-boot,710,false
spring-projects,spring-boot,710,false
kdn251,interviews,43,false
kdn251,interviews,43,false
square,retrofit,168,false
square,retrofit,168,false
square,okhttp,250,false
square,okhttp,250,false
blueimp,jQuery-File-Upload,102,false
blueimp,jQuery-File-Upload,102,false
google,guava,310,false
google,guava,310,false
PhilJay,MPAndroidChart,81,false
PhilJay,MPAndroidChart,81,false
apache,incubator-dubbo,223,false
apache,incubator-dubbo,223,false
square,leakcanary,79,false
square,leakcanary,79,false
zxing,zxing,142,false
zxing,zxing,142,false
ryanmcdermott,clean-code-javascript,96,false
ryanmcdermott,clean-code-javascript,96,false
greenrobot,EventBus,29,false
greenrobot,EventBus,29,false
akullpp,awesome-java,264,false
akullpp,awesome-java,264,false
crossoverJie,JCSprout,28,false
crossoverJie,JCSprout,28,false
