Owner,Repo
airbnb,javascript
CyC2018,CS-Notes
iluwatar,java-design-patterns
trekhleb,javascript-algorithms
elastic,elasticsearch
ReactiveX,RxJava
spring-projects,spring-boot
kdn251,interviews
square,retrofit
square,okhttp
blueimp,jQuery-File-Upload
google,guava
PhilJay,MPAndroidChart
apache,incubator-dubbo
square,leakcanary
zxing,zxing
ryanmcdermott,clean-code-javascript
greenrobot,EventBus
akullpp,awesome-java
crossoverJie,JCSprout
Snailclimb,JavaGuide
skylot,jadx
sorrycc,awesome-javascript
alibaba,fastjson
Microsoft,CNTK
geekcompany,ResumeSample
libgdx,libgdx
dmlc,xgboost
google,gson
SeleniumHQ,selenium
android10,Android-CleanArchitecture
alibaba,p3c
jhipster,generator-jhipster
google,ExoPlayer
marcuswestin,WebViewJavascriptBridge
jenkinsci,jenkins
you-dont-need,You-Dont-Need-JavaScript
google,flatbuffers
playframework,playframework
winterbe,java8-tutorial
orhanobut,logger
francistao,LearningNotes
judasn,IntelliJ-IDEA-Tutorial
realm,realm-java
deeplearning4j,deeplearning4j
mikepenz,MaterialDrawer
Konloch,bytecode-viewer
elastic,logstash
jobbole,awesome-java-cn
mybatis,mybatis-3
TheAlgorithms,Java
wesbos,JavaScript30
facebook,infer
eclipse-vertx,vert.x
wasabeef,recyclerview-animators
b3log,symphony
brettwooldridge,HikariCP
shichuan,javascript-patterns
prestodb,presto
permissions-dispatcher,PermissionsDispatcher
vondear,RxTool
roughike,BottomBar
mockito,mockito
Yalantis,uCrop
perwendel,spark
googlei18n,libphonenumber
naver,pinpoint
florent37,MaterialViewPager
alibaba,arthas
google,guice
dianping,cat
xetorthio,jedis
code4craft,webmagic
oracle,graal
redisson,redisson
google,auto
junit-team,junit4
wasabeef,glide-transformations
rzwitserloot,lombok
ityouknow,spring-boot-examples
dropwizard,dropwizard
square,dagger
cymcsg,UltimateRecyclerView
Bearded-Hen,Android-Bootstrap
twitter,finagle
kaushikgopal,RxJava-Android-Samples
google,tink
docker,labs
jhy,jsoup
thinkgem,jeesite
xuxueli,xxl-job
facebook,buck
KotlinBy,awesome-kotlin
square,javapoet
dropwizard,metrics
codecentric,spring-boot-admin
b3log,solo
open-android,Android
lzyzsd,JsBridge
jakesgordon,javascript-state-machine
OpenRefine,OpenRefine
coodict,javascript-in-one-pic
square,okio
medcl,elasticsearch-analysis-ik
rey5137,material
cats-oss,android-gpuimage
AllThingsSmitty,must-watch-javascript
stanfordnlp,CoreNLP
humanwhocodes,computer-science-in-javascript
java-decompiler,jd-gui
pxb1988,dex2jar
swagger-api,swagger-core
evant,gradle-retrolambda
google,j2objc
google,android-classyshark
cxxr,better-java
apereo,cas
facebook,rebound
grpc,grpc-java
jobbole,awesome-javascript-cn
kanaka,mal
lionsoul2014,ip2region
GoogleContainerTools,jib
ben-manes,caffeine
sockeqwe,mosby
Blankj,awesome-java-leetcode
hs-web,hsweb-framework
vipshop,vjtools
mgechev,javascript-algorithms
antlr,antlr4
Yalantis,Side-Menu.Android
prolificinteractive,material-calendarview
AsyncHttpClient,async-http-client
TooTallNate,Java-WebSocket
JakeWharton,DiskLruCache
scribejava,scribejava
NLPchina,ansj_seg
square,moshi
lzyzsd,Awesome-RxJava
judasn,Linux-Tutorial
java-native-access,jna
Activiti,Activiti
ruby-concurrency,concurrent-ruby
robolectric,robolectric
NanoHttpd,nanohttpd
Ramotion,folding-cell-android
google,error-prone
orhanobut,dialogplus
aalansehaiyang,technology-talk
