owner,repo,authorCount,cached
airbnb,javascript,473,false
CyC2018,CS-Notes,163,false
iluwatar,java-design-patterns,186,false
trekhleb,javascript-algorithms,79,false
elastic,elasticsearch,0,false
ReactiveX,RxJava,0,false
spring-projects,spring-boot,679,false
kdn251,interviews,43,false
square,retrofit,165,false
square,okhttp,236,false
blueimp,jQuery-File-Upload,102,false
google,guava,297,false
PhilJay,MPAndroidChart,81,false
apache,incubator-dubbo,196,false
square,leakcanary,75,false
zxing,zxing,141,false
ryanmcdermott,clean-code-javascript,91,false
greenrobot,EventBus,28,false
akullpp,awesome-java,253,false
crossoverJie,JCSprout,27,false
