sizeAtCommit,linesAdded,linesDeleted,repo,numberOfCommits,numberOfFiles,cached
2,64,62,https://github.com/mtytel/cursynth.git,219,179,false
3,61,11,https://github.com/dmlc/cxxnet.git,852,162,false
11,212,69,https://github.com/elastic/elasticsearch-hadoop.git,1243,595,false
4,1982,117,https://github.com/facebook/fatal.git,401,132,false
100,245,24,https://github.com/google/guice.git,1441,706,false
6,211,32,https://github.com/lawloretienne/HackerNews.git,12,67,false
49,41,33,https://github.com/KDE/k3b.git,5430,1082,false
7,39,21,https://github.com/KDE/ksudoku.git,668,253,false
7,34,16,https://github.com/01org/libxcam.git,250,249,false
6,185,88,https://github.com/01org/libyami.git,487,242,false
17,28,528,https://github.com/apache/log4j.git,3266,637,false
77,421,176,https://github.com/dmlc/mxnet.git,223,142,false
2,12,10,https://github.com/oclint/oclint.git,733,338,false
2,163,202,https://github.com/google/ohmu.git,226,183,false
11,2674,1836,https://github.com/SFTtech/openage.git,1761,553,false
23,215,7,https://github.com/facebook/osquery.git,2208,545,false
0,56,18,https://github.com/gamelinux/passivedns.git,220,44,false
46,265,43,https://github.com/ushahidi/SMSSync.git,1395,564,false
7,253,65,https://github.com/facebook/swift.git,496,427,false
2,46,13,https://github.com/01org/wds.git,238,183,false
17,53,18,https://github.com/dmlc/xgboost.git,1825,362,false
