Owner,Repo,Commit
mtytel,cursynth,578b43cd5d2f310b41b215b7763c7ebfce95b533
dmlc,cxxnet,3a4646dac760efcca29051f2808ed075a0170399
elastic,elasticsearch-hadoop,eb371b7c67fc3141d9ebd50ff4400b27c41a0c45
facebook,fatal,17e882f50009ea5839cba20255515b2de1770406
google,guice,87cd5ad7a3590d9288a9366e333b6878a54b2d14
lawloretienne,HackerNews,5d9732690f100da4dbcdbd482cbcf2d3b6af5b28
KDE,k3b,cc3e179038967b214962bfd8ffb05ada74f32e02
KDE,ksudoku,3907bc519e3cbe9f7af742695953346f704ce177
01org,libxcam,8e4db8a84748c246e7f75cd276c588051df56366
01org,libyami,68d4ea1690c31e61647ec188a8802cc0eb095ee8
apache,log4j,161272baebea0dc35032ba093f2e588fda3544e2
dmlc,mxnet,299e1d82b636976faab503edc4072506a7339386
oclint,oclint,ca256145c79d174017db7fb8e83549a057c82fcd
google,ohmu,ae9f6a68b6275848e6d9eda981e8becf2b2332b2
SFTtech,openage,137fba7bfae4c5a8bb3d93dd1d12b6359b498840
facebook,osquery,68cb40bae1c38f663b3ab7b029b2d5ae97bb9928
gamelinux,passivedns,b35be398850c42400e4e0c51b7ac96d883aefb77
ushahidi,SMSSync,4f2b225b29505de757d9fae4b7d86137f3e0b7e8
facebook,swift,0c88042f5354fe7fdf606b4ea40aa7f7781a84c2
01org,wds,5e56438292f97fed5ab7e4c83656f7c7413c4d23
dmlc,xgboost,f258a68029c28236e8ec63be3ff7a102016e4051
