Owner,Repo,Commit
mtytel,cursynth,cb306239bd8841a5db30abe73dcdbe85e6955e51
dmlc,cxxnet,b1d2a4450205313587be573515e03cf885e570f2
elastic,elasticsearch-hadoop,ac52163ead144f748178a66302d1032d8d411fc9
facebook,fatal,fb07fc8f48672b10ce22942721a2ca2e6ac10b4f
google,guice,abc78c361d9018da211690b673accb580a52abf2
lawloretienne,HackerNews,84a394def05088bc0a5534a3ceedfe42e89aae74
KDE,k3b,8002075399035520324a9475ae183bcec8de8ea9
KDE,ksudoku,adb60213fc8bc9f43786a741aed1c76f41fadf25
01org,libxcam,c54c3323647b015f35279c2a2ad18c149c6f2921
01org,libyami,5d7b821a36fe0dca31b2b33f107f54fadaa6ad3f
apache,log4j,f6d190654e29abcd0cc0bef87ea7fcfa67629e1b
dmlc,mxnet,7cf55061980f79f1656b5f344c37472bc404acab
oclint,oclint,b25d49df8bba0322c85defbb8fb653b91efdf6ee
google,ohmu,beeb907fa46583a13abf43652ee112a766756fc8
SFTtech,openage,6f22474080b7cc3169fc68c75be2a34c52ec9ac4
facebook,osquery,e8772f260362e3581486a28517dcf9e779bf2148
gamelinux,passivedns,cd0c3433a05262368c104e797561b146edd199a7
ushahidi,SMSSync,22f7d14009d8f5304ddcb06c365a91e41f6c2332
facebook,swift,3cdbd5e777a1820b166d09200cf102172cbd0aba
01org,wds,6f2d179365cb8cd2470a1c44ea85d88acaf08b25
dmlc,xgboost,2dcf26353605c9edc2d992c5427030a0e1187700
