owner,repo,authorCount,cached
airbnb,javascript,472,false
CyC2018,CS-Notes,159,false
iluwatar,java-design-patterns,186,false
trekhleb,javascript-algorithms,79,false
elastic,elasticsearch,1502,false
ReactiveX,RxJava,336,false
spring-projects,spring-boot,675,false
kdn251,interviews,43,false
square,retrofit,165,false
square,okhttp,236,false
blueimp,jQuery-File-Upload,102,false
google,guava,295,false
PhilJay,MPAndroidChart,81,false
apache,incubator-dubbo,191,false
square,leakcanary,75,false
zxing,zxing,141,false
ryanmcdermott,clean-code-javascript,91,false
greenrobot,EventBus,28,false
akullpp,awesome-java,252,false
crossoverJie,JCSprout,27,false
